Mozilla/5.0 (Linux; Android 11; 2109119BC Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.4464.28 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; 2109119BC Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.4430.81 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; 2109119DG Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.3427.33 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; 2201116SG Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.4955.98 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 15; 21091116UI Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/91.0.5960.25 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8; 22071219AI Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.5863.81 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; 23053RN02L Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.5831.93 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8; 2109119BC Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.5981.28 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; 2109119BC Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/72.0.4510.26 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; 23053RN02L Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/40.0.5909.50 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 15; 2109119BC Build/TKQ1.220807.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/104.0.5770.34 Mobile Safari/537.36
